"date","Tmort","Rmort","Cmort","Temp","Rhumid","CO","SO2","NO2","HC","Ozone","Part"
"1972-07-05",167,4,79,86.4,51.6,7.33,5.5,12.5,63.33,12.33,48
"1972-07-06",172,12,91,85.2,53.8,7.83,7.33,13,86.67,13.5,42.67
"1972-07-07",168,6,92,86.4,56,8.17,7,14,60,15.5,42.33
"1972-07-08",180,6,87,85.6,60.8,5.5,4.33,11.67,51.67,8.5,31.5
"1972-07-09",170,9,92,83.4,59.8,4.83,4.17,8.5,50,12.5,22.83
"1972-07-10",148,7,72,85,59.2,6.5,4.33,13.33,53.33,15.33,42.33
"1972-07-11",155,10,81,89.8,52.4,7.5,4.83,16.17,71.67,22.83,46.67
"1972-07-12",171,5,90,86.8,61,6.17,4.67,12,45,19,47.33
"1972-07-13",152,3,77,87,61.8,6.67,6.33,13.67,55,21.67,43.5
"1972-07-14",161,14,78,81.2,68.4,5.17,2.67,7.5,36.67,8.17,33.67
"1972-07-15",197,6,110,83.2,66,4,2.17,4.67,30,9.5,18.83
"1972-07-16",177,12,86,83.4,61.2,4,2.67,5.5,30,9.5,17.67
"1972-07-17",172,5,82,82,59.4,5.67,2,7,35,6.67,35.5
"1972-07-18",169,7,100,80.4,59.6,4,2.67,6.17,35,6,21.5
"1972-07-19",172,5,96,76.2,65.8,4,2,4.33,30,5.5,22.67
"1972-07-20",152,6,84,74.8,64.8,3.67,2,4.5,33.33,4.17,21
"1972-07-21",201,14,95,78.4,57.8,4.83,2,5.67,35,6,25
"1972-07-22",164,8,71,83.4,55.4,6,3.17,8.83,48.33,16.33,33.67
"1972-07-23",176,13,84,90.2,45,6.5,5.5,11.83,63.33,15.17,33
"1972-07-24",183,10,98,89.4,43.4,8.83,3.67,16.67,60,17.5,54.67
"1972-07-25",174,8,80,89.2,44.4,7.17,5,14.5,48.33,15.17,46.17
"1972-07-26",170,1,90,92.6,38.6,8.33,6.83,17.67,63.33,19.5,51.83
"1972-07-27",180,7,104,97,36.8,12,4.17,20.83,68.33,15.67,56.5
"1972-07-28",161,5,90,96.2,41.4,13.33,4,19.83,88.33,17.33,60
"1972-07-29",212,11,98,95.4,35.2,7.5,3.33,12.67,50,10.83,39.67
"1972-07-30",191,2,94,97.6,42.4,7.17,4,17.67,70,16.67,34.5
"1972-07-31",181,7,95,98.2,41.6,9,7.17,19.67,65,17.33,51.83
"1972-08-01",182,19,90,94.4,43.4,8.67,5,16.67,65,20.5,49.17
"1972-08-02",184,5,89,83.4,59.2,6.83,4.67,11.83,48.33,7.5,41.67
"1972-08-03",154,6,82,80,64.8,5,2.17,6.67,30,9.5,34.67
"1972-08-04",187,10,100,81.2,63.4,5.5,3.83,9.67,33.33,12.33,33
"1972-08-05",190,13,93,88.4,57.6,6.17,3.17,13.17,61.67,11.83,46.5
"1972-08-06",172,8,101,91.8,47.6,4.67,3.5,10.5,46.67,9.83,25.5
"1972-08-07",180,9,97,88.4,55.2,5.5,3.67,11.83,43.33,9.17,36.83
"1972-08-08",177,10,92,84.6,59.8,4.67,3,9.5,45,10.17,31.33
"1972-08-09",157,8,86,82.2,65.6,4.33,2.33,9.5,38.33,9.17,36.5
"1972-08-10",170,9,86,84.8,64.4,5.83,3.5,12.33,41.67,13.33,41.33
"1972-08-11",161,5,88,85.2,65.4,5.5,4.5,12.17,40,15.67,49
"1972-08-12",170,6,91,77,77.8,4.5,2,7.67,35,7.17,24
"1972-08-13",139,8,69,77.4,72.8,3.33,2,5.83,33.33,5.83,19.33
"1972-08-14",171,6,84,79.4,63.8,3.83,2,7.17,33.33,7.5,23.33
"1972-08-15",157,4,87,78.4,64.6,6.17,3.33,7.83,46.67,11.17,44.67
"1972-08-16",168,8,101,80,57.4,6.83,3,12.17,53.33,11,46.83
"1972-08-17",158,4,99,80.6,60.2,7.83,2.33,11.83,58.33,9.5,48.33
"1972-08-18",160,6,88,76.2,64,4,1.83,5.83,33.33,5.67,25
"1972-08-19",173,4,86,78.8,60.4,3.83,2,7,31.67,7.83,22.5
"1972-08-20",161,7,77,84.8,51.8,5.83,2,10.17,46.67,10,30.83
"1972-08-21",171,3,89,93.4,41.4,10.17,5.33,19.83,66.67,17.67,59.33
"1972-08-22",169,12,85,97.8,35.4,12.5,5,18.83,73.33,15.33,67
"1972-08-23",158,5,83,87.8,51.6,7.67,3.33,12.33,60,11.67,50.83
"1972-08-24",140,1,72,73.6,71.2,4,2.33,6,38.33,3.67,25.17
"1972-08-25",145,3,70,78.4,63.8,4,2,6.67,33.33,7,25.33
"1972-08-26",186,4,93,78.4,69,4.67,2.33,7.17,48.33,8.5,29.33
"1972-08-27",151,9,76,78.6,71.8,4.17,3,8.83,33.33,10.67,24.33
"1972-08-28",162,7,81,88,59.6,7.17,3.33,15.67,51.67,12,42.67
"1972-08-29",153,8,79,93.8,45.4,10.67,3.83,21.33,58.33,11.83,56.33
"1972-08-30",156,10,87,89,58.2,6.17,2.5,10.5,55,12.17,37.33
"1972-08-31",166,8,77,86,62.8,6.67,3,11.33,53.33,11.17,44.5
"1972-09-01",187,11,96,80.6,69.8,4.67,3.67,9,33.33,11.67,34.33
"1972-09-02",129,5,63,81.6,64.6,4.17,2.83,8,36.67,8.33,26.33
"1972-09-03",173,6,98,79.8,75.6,6.17,2.5,8.33,43.33,7.33,29
"1972-09-04",171,6,92,90.8,53.8,6.67,3.17,7.83,50,10.17,32.17
"1972-09-05",164,5,84,86.8,60.4,7.33,2.83,10.67,56.67,6.33,44.67
"1972-09-06",170,7,92,80.6,72.2,5.83,2.5,5.17,36.67,5.5,29.33
"1972-09-07",168,9,90,77.6,72.6,3.67,2.5,6,36.67,6.67,24
"1972-09-08",174,5,92,76.8,73.2,3.67,2.83,6.83,36.67,7.33,26.5
"1972-09-09",160,5,77,74.8,70.2,2.83,2.83,5.33,36.67,5.83,19.33
"1972-09-10",150,6,73,73.6,68,2.67,1.67,5.67,33.33,4.5,12
"1972-09-11",159,8,81,74.6,62.2,4.5,2.33,5.33,45,4.33,22.17
"1972-09-12",137,5,65,78,55.4,7.83,3.67,11.5,51.67,10.33,48.5
"1972-09-13",156,4,89,79.6,53,9.17,4.83,16.67,65,11.67,56.83
"1972-09-14",181,7,100,77.6,58.2,10.33,3.83,16,86.67,10,65.17
"1972-09-15",155,4,80,77,64.8,7.5,4.67,14.5,60,13.67,55.5
"1972-09-16",174,4,100,77.4,66.2,6.5,4,11,51.67,14.83,38.33
"1972-09-17",169,8,84,76.2,66.4,5.5,2.17,7.33,61.67,10.33,32.5
"1972-09-18",184,5,98,75.6,59.8,6,2.83,8.67,51.67,6.83,40.17
"1972-09-19",167,7,89,76,62.2,7.67,1.83,6.83,45,4,43.83
"1972-09-20",157,4,85,88.4,47.6,10.83,3.33,17.17,56.67,10.83,58.83
"1972-09-21",164,7,86,94.2,30.4,13.83,3.83,21.67,66.67,13.67,77
"1972-09-22",187,3,116,87,47.2,13.17,4.33,21.83,66.67,17.5,75.5
"1972-09-23",154,7,74,78.8,63,5.33,2.17,9.17,46.67,8.5,34.17
"1972-09-24",155,4,84,72.6,65,2.83,1.83,5.5,31.67,4.5,19.5
"1972-09-25",159,5,89,76.2,62.6,7.17,2.67,6.83,51.67,7,40.5
"1972-09-26",162,11,85,76.8,64.6,7,2.83,10.33,51.67,10.33,45.17
"1972-09-27",177,6,92,77,68,5.5,4,10.33,48.33,8.83,43.17
"1972-09-28",147,5,76,78.4,67.4,6.17,3.67,10.17,51.67,6.67,40.17
"1972-09-29",172,5,95,85.2,63.8,8.67,3.17,15.67,61.67,11,51.17
"1972-09-30",168,7,87,88.6,51.4,10.17,6.5,15.83,71.67,14.67,52.33
"1972-10-01",160,1,79,76.2,63.4,8.17,3,6.83,55,4.17,33.83
"1972-10-02",147,2,84,72,61.8,6.5,1.83,5.67,46.67,2.17,30.33
"1972-10-03",168,4,102,73.6,65.6,7.83,2.33,9.33,60,2.83,44.33
"1972-10-04",140,7,65,75.2,62,8.33,2.83,9.83,53.33,6.33,45.33
"1972-10-05",156,7,82,92,38.2,13.33,2.33,22.17,61.67,9.67,67.5
"1972-10-06",171,7,98,93.8,28.4,13.33,4,12.67,66.67,8,62.17
"1972-10-07",175,12,96,73.2,69,3,2.33,6,33.33,4.67,19.33
"1972-10-08",190,9,108,69.4,70.2,3,3.5,6,35,3.83,18.83
"1972-10-09",137,4,75,72.6,58.2,6.17,1.83,4.33,41.67,3.33,38.33
"1972-10-10",139,7,73,73,58.8,8.67,2.33,10.33,51.67,4.17,53
"1972-10-11",155,7,76,78.2,56,8.67,1.5,9.67,48.33,5.17,52.33
"1972-10-12",145,6,71,74.8,64.6,12.33,2.33,14,65,4.5,63.67
"1972-10-13",166,6,89,78.6,53,10.5,3.5,11.67,60,5.33,59.5
"1972-10-14",173,2,97,74.8,57.6,8.5,2.5,7.67,56.67,3,44.67
"1972-10-15",162,6,80,75.6,56.8,7.67,1.67,6.5,45,6.5,36.83
"1972-10-16",176,4,97,71.8,60.2,9.5,2,9.5,48.33,3.33,55.33
"1972-10-17",167,5,94,70.4,64.4,10.33,2,12.17,51.67,3.17,60.83
"1972-10-18",155,6,81,68.8,64.8,10,2.5,11,63.33,2.5,58.67
"1972-10-19",172,12,103,69.6,68,9,3.17,7.5,45,4.83,47
"1972-10-20",160,7,77,65.8,73.6,10.67,3,8,46.67,2,57
"1972-10-21",189,9,86,71.2,68.6,10,7,10.83,53.33,10.33,53.5
"1972-10-22",179,10,96,73.8,68.6,8.5,3.83,11.67,55,12.83,52.33
"1972-10-23",167,4,94,77.6,66.4,10.5,7.5,19,73.33,9.5,69.83
"1972-10-24",170,5,99,75.6,69,10.83,3.83,14.83,60,9.33,64.17
"1972-10-25",152,11,76,78.6,51,14,3.5,11.33,60,5.33,71.33
"1972-10-26",159,5,78,67.6,69.2,10.83,3,11,60,2.67,62
"1972-10-27",165,6,91,66.4,69.4,13,3.17,11.17,60,2.33,68
"1972-10-28",154,7,82,72.8,61.6,12.5,2.5,10.5,60,6,68.5
"1972-10-29",180,10,95,72.8,43.6,9,2,6.5,53.33,3.83,53.67
"1972-10-30",202,13,103,68.8,17.2,3.33,2.17,5.17,35,3,24.33
"1972-10-31",157,4,84,70,24.2,12.17,2.5,8.83,55,3.5,83.17
"1972-11-01",173,6,96,69.2,47.2,12,3,11.5,53.33,4.17,64.83
"1972-11-02",190,10,110,75.4,52.2,18.17,4,19.33,71.67,8.17,81.67
"1972-11-03",181,8,108,80.4,47,19,8,28.83,86.67,13.67,88.17
"1972-11-04",166,5,92,65.2,77,13.5,2.83,16.67,70,4.5,74.83
"1972-11-05",188,12,104,71.2,69.8,11,2.5,10.17,61.67,6.67,64.17
"1972-11-06",183,9,82,77.6,48,15.33,3.5,17.67,68.33,6.67,71.83
"1972-11-07",187,7,98,66.8,69,13.33,3.83,16.5,58.33,2.83,70.83
"1972-11-08",171,6,96,68.2,50,5.83,2.5,6.17,48.33,2.67,39.83
"1972-11-09",161,8,96,73.2,46.6,12.67,3.33,13.33,60,4.83,67.33
"1972-11-10",181,5,94,65.4,63.8,12.33,3.33,12.83,73.33,2,80.5
"1972-11-11",195,3,108,62.4,66,4.83,1.83,4.33,28.33,2.33,35
"1972-11-12",173,9,93,64.6,61,8,5.33,6.17,38.33,2.5,58.5
"1972-11-13",169,8,90,64,68.2,8.33,2.17,6.67,46.67,2.17,56.5
"1972-11-14",176,10,95,58,86.4,13.17,1.83,5.67,41.67,1.33,72.17
"1972-11-15",178,9,95,62.8,76.2,10,2,6.67,45,1.67,53.67
"1972-11-16",164,11,92,61,84.8,7.83,2.5,5.67,30,1.5,40.33
"1972-11-17",161,5,92,65,70.4,8.33,2.33,6.17,30,2.33,45.5
"1972-11-18",176,11,84,66,64.8,12.5,3.17,10.17,56.67,4,66.17
"1972-11-19",178,5,97,65.2,70.8,12.33,2.83,10.5,56.67,3.83,67.5
"1972-11-20",189,4,101,70.2,54.8,10.33,2.5,11.17,46.67,4.17,59
"1972-11-21",174,5,102,72,38.2,11,2,10.5,50,4.33,58.33
"1972-11-22",162,12,81,68.6,35.2,11.83,3.67,10.17,56.67,2.17,56.5
"1972-11-23",166,4,88,70,37.6,9.33,4,7,46.67,2.67,46.5
"1972-11-24",194,8,108,68.8,49,15.83,3,12.5,65,2.83,73
"1972-11-25",189,11,97,73.8,48.4,16.5,3,18.17,66.67,6,76.83
"1972-11-26",191,10,99,82,41.6,14.83,2.83,16.17,71.67,5.67,69.5
"1972-11-27",203,11,105,77,54.4,21.67,4.33,27,86.67,7.33,90.33
"1972-11-28",170,7,93,75.8,41.8,15.33,4,21.5,68.33,4.33,77.17
"1972-11-29",188,13,101,79.2,34,15.83,3,18.17,71.67,3.5,75.83
"1972-11-30",189,8,97,79.8,31.8,16.67,3.67,15.17,70,3.33,73.33
"1972-12-01",156,5,92,81.8,30.6,23.67,4.33,16.17,88.33,3.33,80.17
"1972-12-02",187,11,90,70,61.4,19.5,5.33,21.17,80,5,74.33
"1972-12-03",195,10,108,61.8,67.8,6.5,1.83,9.5,33.33,3.83,46.5
"1972-12-04",194,8,104,57.6,80.6,5.67,1.83,7.5,35,1.67,37.33
"1972-12-05",164,4,91,56.8,43.4,13,2.17,10.17,38.33,2.33,70.83
"1972-12-06",163,7,98,56,56.8,11.67,2.5,11,41.67,1.67,69
"1972-12-07",179,5,103,58.6,61.8,9.83,2.17,6.33,48.33,2,56.33
"1972-12-08",177,11,98,54,71.8,6.17,1.67,5.17,35,1.83,41.33
"1972-12-09",189,4,99,50.4,46.2,8,2.17,7.5,38.33,1.83,58
"1972-12-10",184,6,86,47.6,46.8,7,2.17,9,35,1.33,51.5
"1972-12-11",183,7,113,53.8,38.4,9.67,1.83,7.5,40,2,64.83
"1972-12-12",173,5,91,56.2,46.4,10.67,2.17,9.5,48.33,2.33,76
"1972-12-13",195,13,93,59.8,38,11.17,3.67,8.83,58.33,2.17,67.67
"1972-12-14",188,8,111,63,40.4,15.5,3.17,12,58.33,2.83,81
"1972-12-15",192,8,114,67.4,28,12,2.17,8.33,48.33,1.83,79.67
"1972-12-16",184,17,103,72.8,26.2,8.17,3.17,6.5,41.67,1.83,49.33
"1972-12-17",187,10,99,70,36.4,16.33,3.33,11.5,75,1.5,79.17
"1972-12-18",199,12,109,75.4,49.4,16.33,2.33,18,75,3.67,78.33
"1972-12-19",192,10,104,67.6,68.4,16,4.17,30.67,80,3,95
"1972-12-20",192,14,102,80.4,53,17.17,3.5,16.5,66.67,3.67,74.17
"1972-12-21",207,15,120,80,40.6,23,3.67,18.5,86.67,4.67,87.83
"1972-12-22",199,16,113,68.8,70,21.5,4.33,18.67,91.67,3.17,89.33
"1972-12-23",201,10,94,72.6,67.4,14.83,3,10.83,65,5.17,62
"1972-12-24",200,4,113,71.6,57.8,14.33,2.83,10.33,73.33,3.33,62
"1972-12-25",190,10,115,78.4,18.4,7,2.83,6.83,40,3.5,37.5
"1972-12-26",212,15,120,79.6,29,14,3.67,11,71.67,2.83,68
"1972-12-27",217,10,126,76.6,32.2,16.5,3,11.17,63.33,3,73.83
"1972-12-28",193,19,128,57.8,38.8,13,2.5,9.83,60,2.33,66.5
"1972-12-29",189,20,108,62.6,29.8,7.67,3.67,7.17,40,2.5,54
"1972-12-30",186,5,108,63.8,37,10.33,3.67,8.17,53.33,2.67,67.17
"1972-12-31",205,15,110,65.6,36.6,10.33,4.5,8.67,58.33,3,62.17
"1973-01-01",193,14,114,65.2,15,4.67,2.83,5.17,36.67,3.33,38.17
"1973-01-02",214,13,129,63.8,39.6,12.67,2.83,9.67,51.67,2.83,67.33
"1973-01-03",242,19,138,58,59.2,9,1.83,7.17,50,2.67,48.33
"1973-01-04",220,27,122,55,57.6,12.5,1.83,7.83,43.33,1.83,67.83
"1973-01-05",198,12,124,59.8,34.4,12.33,2.5,8.67,45,3.33,84.83
"1973-01-06",225,18,140,59.2,34.2,13.83,3,9.67,60,2.83,88.83
"1973-01-07",221,21,140,58.4,52.2,12.67,2.5,9.67,56.67,3.5,92.67
"1973-01-08",236,15,137,59.2,64.4,12.5,2.83,9,55,2.33,77.17
"1973-01-09",244,23,137,58.8,79.8,7.33,2,6.5,40,2,42.67
"1973-01-10",214,25,126,62.4,75.8,14.83,3,10.17,61.67,2.33,75.17
"1973-01-11",244,30,133,68.2,65.4,15,3.33,13,66.67,3.33,74.67
"1973-01-12",230,28,116,70.8,63.8,18.17,4.67,24.33,73.33,3.5,87.67
"1973-01-13",217,28,120,79.4,54.6,18.67,2.83,14.33,65,3.83,75
"1973-01-14",230,22,144,79,44.8,11.33,3.67,16.33,61.67,5.17,51.67
"1973-01-15",238,31,117,62.4,80,6.83,3.67,11,43.33,2.67,47.17
"1973-01-16",235,32,118,56.8,90.2,7.83,1.5,6.83,38.33,2,46.17
"1973-01-17",228,25,125,61.2,72,9.67,2,8.67,48.33,2.67,56.17
"1973-01-18",237,29,118,57.8,76.6,8,1.83,5.5,41.67,1.67,43.5
"1973-01-19",235,37,110,57,40.6,5.17,1.33,4.67,31.67,3,29
"1973-01-20",218,22,124,59.4,38.2,10,2.17,7.5,48.33,2.83,53.5
"1973-01-21",231,33,131,58.8,61.2,8.67,2.67,6.83,50,2.5,53.17
"1973-01-22",228,32,121,66.4,38,10.5,2.83,7.83,43.33,2.33,61
"1973-01-23",222,24,113,66.8,37.8,13.67,3,10.33,55,2.83,72.83
"1973-01-24",224,30,117,67.4,40.8,15.5,2.67,12.5,63.33,3.17,75.83
"1973-01-25",202,21,119,60,68.2,13.17,3.17,12.33,68.33,1.83,78
"1973-01-26",226,23,133,63,50.6,10.17,2.67,8,45,2.5,60.33
"1973-01-27",196,19,103,69.6,40.4,9.67,3.5,10.67,43.33,3.33,53
"1973-01-28",234,21,122,73.8,26.2,6.83,1.83,6,41.67,2.67,35.83
"1973-01-29",235,20,144,67.6,45,11.33,2.67,10,48.33,2.33,63.5
"1973-01-30",193,25,92,56.8,77.4,8,1.67,8.33,45,1.83,49.5
"1973-01-31",228,33,120,64,63.4,10.33,2,12.33,45,2.83,76.83
"1973-02-01",225,20,125,69.2,49.6,11.5,2.67,11.67,55,4.17,61.17
"1973-02-02",229,18,144,67,32,13.83,2.17,9.33,48.33,1.67,60.67
"1973-02-03",188,23,102,61.2,74.6,8.5,1.83,5,40,2.33,56
"1973-02-04",212,20,117,62,83.4,8.33,1.67,6.33,40,1.83,50
"1973-02-05",198,27,102,64,71.4,12.5,3.33,12.33,48.33,2.83,65
"1973-02-06",186,17,100,61.8,86.4,5.17,1.5,4.83,28.33,1.33,43.67
"1973-02-07",171,5,101,59.8,87.2,11.17,1.67,8.33,51.67,1.67,54.17
"1973-02-08",212,20,118,63,81.2,10.5,2.67,9.83,55,4.67,60.83
"1973-02-09",178,10,106,60.4,80.6,7.5,2,10,38.33,4,44.17
"1973-02-10",179,12,100,56.4,91,4.67,2.33,5.67,33.33,1.33,32
"1973-02-11",178,17,97,58.8,82.4,3.5,2.83,4.83,31.67,2.67,20.67
"1973-02-12",182,11,100,60,76.6,5.67,2.17,5,31.67,2,29.83
"1973-02-13",178,11,101,61.4,72.6,7,2,7,38.33,3.33,40.83
"1973-02-14",166,11,100,59.4,77.2,8.17,2.67,8.67,43.33,2.33,50.17
"1973-02-15",175,13,101,65,54.8,7.83,2.33,8.67,51.67,2.33,43.33
"1973-02-16",165,5,82,70.6,49,9.83,3.33,11.67,51.67,2.67,54.83
"1973-02-17",179,10,104,71,41.8,10.83,2.83,10.5,53.33,3.33,49.17
"1973-02-18",197,8,109,70.4,54.6,10.67,3.5,9.83,60,5.5,48.17
"1973-02-19",173,12,100,75.6,42.2,10.33,2.33,10.83,48.33,4.5,48.5
"1973-02-20",169,16,88,78.2,30.4,8.17,1.83,6.83,41.67,2.83,48
"1973-02-21",205,9,114,68.2,46,5.83,1.33,8,35,2.17,34.67
"1973-02-22",174,15,89,67.8,66.2,7.33,2.17,7.5,45,3.5,44.83
"1973-02-23",170,12,82,68,69.8,7.5,2.5,7.17,46.67,2.83,40.5
"1973-02-24",180,4,116,61.6,75.4,6.67,2.17,7,41.67,2,41.33
"1973-02-25",176,7,94,70.2,65.8,8,2.67,10.83,45,5.33,43.5
"1973-02-26",167,7,86,68.6,73.6,10.83,2.33,15,58.33,5,56
"1973-02-27",159,15,91,65.6,78.6,9,2.5,12.67,46.67,2.67,53.5
"1973-02-28",201,9,119,63.8,79.4,5.17,1.83,7,28.33,2.5,30.17
"1973-03-01",154,7,80,64.2,74.4,7.17,1.67,7.33,45,3.83,44.5
"1973-03-02",150,7,85,66,73.4,8.83,2.33,9.33,50,4.5,43.5
"1973-03-03",159,5,93,67.4,68,8.5,2,8.83,46.67,7.17,43.83
"1973-03-04",155,9,94,61.4,63.2,3.5,1.83,4.33,31.67,3,16
"1973-03-05",173,7,106,63.2,65,6,1.83,7.17,38.33,3,41
"1973-03-06",162,5,93,60.6,81.8,5.67,1.83,5.33,30,2.33,29.5
"1973-03-07",169,4,96,64,62.6,5,1.83,7.33,33.33,4,32.83
"1973-03-08",177,4,98,53.6,83.6,6.5,1.5,5.17,40,2,34.17
"1973-03-09",177,8,101,63.8,68,8.67,2.33,11,45,4.67,49.17
"1973-03-10",180,5,98,60.6,75.8,4.67,2,6.17,38.33,2.83,32.33
"1973-03-11",171,8,83,56.2,76.8,2.83,2,5,28.33,2.5,17
"1973-03-12",149,9,90,58.8,69,7,1.67,7,36.67,2.67,36.17
"1973-03-13",163,8,84,60.6,66,8.67,1.83,6.67,46.67,2.5,44.83
"1973-03-14",156,9,90,66.2,32.4,4.83,2.5,5.33,28.33,3.17,32.17
"1973-03-15",158,5,88,69.6,37.8,9,2.17,6.83,48.33,4,61.5
"1973-03-16",169,9,88,71.6,47.4,9.67,2.83,11.17,55,6.5,49.17
"1973-03-17",160,11,85,62,66.8,5.67,3,5.83,60,3,33.5
"1973-03-18",170,9,95,63.6,55.4,6,1.5,6.33,50,5.5,30.83
"1973-03-19",169,10,88,64.8,65.4,6.17,3.67,8.83,43.33,4.67,45.33
"1973-03-20",187,7,91,57.4,65.6,3.33,1.5,4.17,30,3.17,16.67
"1973-03-21",142,1,88,57,68,5.33,1.83,5,36.67,2.5,33.17
"1973-03-22",182,11,98,60.4,50.2,3.67,1.5,4.83,35,2.83,21.83
"1973-03-23",182,5,101,63.4,63.8,6.67,2,8.17,45,4,37.5
"1973-03-24",165,5,80,66.8,66.4,8.17,3,10,50,8.33,40.5
"1973-03-25",153,6,92,60.4,68.2,4.33,2.67,6.17,40,3.83,21.83
"1973-03-26",138,5,83,57.2,68.4,5,1.67,4.83,41.67,3.5,28.33
"1973-03-27",168,8,93,56.6,75.6,5.5,2.33,5,46.67,2.17,38.83
"1973-03-28",167,9,88,61.4,60,5.5,2.33,4,40,2.83,26
"1973-03-29",147,7,71,66.6,40,4.17,2,5,30,3.17,23.67
"1973-03-30",176,4,103,64.4,62.2,5.67,2.17,7.67,36.67,5,39.83
"1973-03-31",165,5,95,63.4,69.2,5.5,2.33,7.83,48.33,6,32.83
"1973-04-01",176,5,94,62.8,37.4,7,1.67,6.33,43.33,3.83,36.67
"1973-04-02",193,8,103,70,31,3.67,1.5,5.67,26.67,3.67,20.17
"1973-04-03",193,5,113,76.8,26.8,6.33,3.17,7.5,40,5.33,36.83
"1973-04-04",176,6,97,76.8,13,5.5,1.83,6.33,31.67,4,32
"1973-04-05",168,14,83,79,22.8,7.83,2.17,9.5,43.33,4.5,50
"1973-04-06",178,5,91,72.8,56,6.83,2,9.17,48.33,7.17,43
"1973-04-07",147,6,73,69.4,67.2,6.5,2,11.33,38.33,9.5,41
"1973-04-08",157,5,82,79.2,31.8,8.67,2,11,48.33,8.5,44.33
"1973-04-09",167,8,93,77.8,35.2,9.5,3.5,17.67,55,7.17,55.67
"1973-04-10",152,13,84,77,57.8,8,2.83,14.5,60,10.17,61.5
"1973-04-11",158,8,86,70.2,64.8,6.67,4,11.33,55,8.33,43.83
"1973-04-12",138,3,68,70.8,69.4,6.5,4.5,13.33,53.33,9.5,47.83
"1973-04-13",132,7,69,64.8,64.6,3.33,2.5,6.17,33.33,5.5,23
"1973-04-14",145,6,93,65.4,57,4.17,2.67,5.5,35,4.17,32
"1973-04-15",142,3,77,63.2,68.6,4.17,2.83,5.67,31.67,3.83,25
"1973-04-16",164,4,101,71,63.6,5.5,2.33,9.33,41.67,7.33,39.17
"1973-04-17",166,8,102,62.2,74.2,5.5,2.83,6.83,41.67,3.33,35.67
"1973-04-18",169,14,96,69.2,39.2,4.83,1.5,6,30,4,26.83
"1973-04-19",177,15,89,66.8,51,3,1.83,6.33,30,4.5,22.17
"1973-04-20",173,5,95,70.2,37.4,6.67,2.83,6.33,41.67,4.33,35.17
"1973-04-21",190,3,103,76,33.2,6.33,2.67,8.67,38.33,5.5,33.67
"1973-04-22",199,11,101,83.2,27.6,7.17,2.67,8.33,46.67,6.5,30.33
"1973-04-23",171,3,105,73.4,55,5.17,2.33,9,41.67,6.5,35.83
"1973-04-24",166,12,86,68.6,65.6,4,2.33,8.67,33.33,6.33,30
"1973-04-25",169,4,100,70.8,65.2,5.33,4.67,11.5,50,9.67,42.33
"1973-04-26",163,11,93,74.4,66.8,6.67,4.33,15.33,43.33,11.67,48.33
"1973-04-27",148,7,86,69.6,73.6,5.83,3.17,13.67,41.67,9.17,50.33
"1973-04-28",143,10,82,61.2,75.8,3.5,1.67,6.83,28.33,4.67,29.17
"1973-04-29",163,6,86,62.8,66.4,2.17,1.67,5.33,21.67,4,12.33
"1973-04-30",168,7,91,61.6,63.6,3.5,1.83,6,30,3.5,32
"1973-05-01",163,8,95,71.2,59.4,5.67,2.83,8.83,43.33,7,40.67
"1973-05-02",149,3,91,84,41.8,9.5,2.67,15,53.33,10.17,59.83
"1973-05-03",164,13,89,82.6,42.4,7.83,3.33,15,53.33,11.5,56.67
"1973-05-04",167,6,101,70.4,64.8,5.5,2.17,7.83,46.67,5.83,34.83
"1973-05-05",166,9,94,62.8,61.2,2.33,1.67,4.83,28.33,3.83,28.83
"1973-05-06",160,4,91,67.8,62.4,2.67,2,6.5,25,5.83,16.5
"1973-05-07",179,8,95,70.2,64.4,6.17,2.83,11.83,46.67,8.33,39.17
"1973-05-08",183,10,99,75,63.6,6.17,3.67,14,56.67,12.33,46.67
"1973-05-09",162,3,90,79.4,59.6,7.17,4.5,17.17,63.33,13.5,50
"1973-05-10",176,9,99,79.8,57.6,8.83,4.33,19.67,73.33,15.17,63.33
"1973-05-11",168,6,99,72.2,70.4,4.83,4.33,11.5,38.33,9.67,40.67
"1973-05-12",164,6,84,66.2,76.4,3.83,2.33,7.83,28.33,8.33,27.5
"1973-05-13",154,7,87,64.6,79.6,3.5,1.83,7.33,25,7.67,23.17
"1973-05-14",171,9,103,69,73,4.5,2.67,8.33,30,8,37.5
"1973-05-15",146,7,79,75.2,66.6,3.83,2.17,9,33.33,11.17,29.17
"1973-05-16",149,4,87,73,69.6,5.5,2.83,11.17,51.67,10.67,41.5
"1973-05-17",129,3,82,74,73.4,5.83,3,13.5,38.33,11.67,43
"1973-05-18",165,5,90,74,73,5.67,4.5,13.17,38.33,10.17,47.17
"1973-05-19",155,5,88,70.4,78.2,3.5,2.5,7.67,30,7,24.67
"1973-05-20",168,8,85,66.2,78,2.67,2,6.33,28.33,5.67,20
"1973-05-21",144,6,76,71,66.4,4.17,2.5,8.17,28.33,7.33,28.17
"1973-05-22",150,9,82,72.4,62.8,4.83,2.33,9.5,35,10,33
"1973-05-23",147,6,85,74.2,64.6,4.83,3.5,11,41.67,10.17,43.67
"1973-05-24",154,3,78,71.2,69.4,4.67,3.33,9.33,33.33,9.33,33.83
"1973-05-25",169,6,94,66,74,4.83,2.33,8.5,33.33,5.5,31.5
